LakeID,OfficialName,Town,LakeRegion,LakeArea,BasinArea,Elevation,MaxDepth,MeanDepth,OutletType,locationName,locationType,centerLatitude,centerLongitude
CUTTINGSVILLE,Unnamed Pond referred to by DEC as Cuttingsville,Shrewsbury,West Central,,,1530,,,,Cuttingsville Pond Shrewsbury,Pond,43.48,-72.92
DANBY,Danby Pond,Danby,West Central,56,388,1403,6,,NATURAL,Danby Pond Danby,Pond,43.3650727,-73.0506606
DANIELS,Daniels Pond,Glover,North Central,66,1079,1631,13,8,NATURAL,Daniels Pond Glover,Pond,44.6767173,-72.2626038
DANIELS-W,Unnamed Pond referred to by DEC as Daniels - W,Glover,North Central,20,441,1210,,,NATURAL,Daniels - W Pond Glover,Pond,44.68,-72.28
DANVILLE,Danville Reservoir,Danville,North Central,2,839,1585,,,,Danville Reservoir Danville,Reservoir,44.42,-72.17
DANYOW,Danyow Pond,Ferrisburgh,Champlain ,192,380,100,,,ARTIFICIAL,Danyow Pond Ferrisburgh,Reservoir,44.18,-73.3
DARK,Unnamed Pond referred to by DEC as Dark,Eden,North Central,,,1330,,,,Dark Pond Eden,Pond,44.75,-72.55
DEER PARK,Deer Park Pond,Halifax,Green Mtn South,22,607,1510,9,,ARTIFICIAL,Deer Park Pond Halifax,Reservoir,42.78,-72.72
DEER PARK-WEST,Unnamed Pond referred to by DEC as Deer Part - West,Halifax,Green Mtn South,6,247,1550,,,,Deer Part - West Pond Halifax,Pond,42.78,-72.72
DEERFIELD-LOWER,Unnamed Pond referred to by DEC as Deerfield - Lower,Stratton,Green Mtn South,,,2215,,,,Deerfield - Lower Pond Stratton,Pond,43.03,-72.97
DEERFIELD-N,Unnamed Pond referred to by DEC as Deerfield - N,Stratton,Green Mtn South,,,2235,,,,Deerfield - N Pond Stratton,Pond,43.03,-72.98
DEERFIELD-UPPER,Unnamed Pond referred to by DEC as Deerfield - Upper,Stratton,Green Mtn South,,,2275,,,,Deerfield - Upper Pond Stratton,Pond,43.03,-72.97
DENNIS,Dennis Pond,Brunswick,NE Kingdom,49,5337,1030,3,2,NATURAL,Dennis Pond Brunswick,Pond,44.7303279,-71.6578674
DERBY,Lake Derby,Derby,NE Kingdom,207,1156,981,19,8,NATURAL,Lake Derby Derby,Lake,44.9542134,-72.1162109
DEVILS,Unnamed Pond referred to by DEC as Devils,Alburgh,Champlain ,,,1290,,,,Devils Pond Alburgh,Pond,44.9392075,-73.2612412
DEWEYS MILL,Deweys MILL Pond,Hartford,East Central,56,969,545,,,ARTIFICIAL,Deweys Mill Pond Hartford,Reservoir,43.65,-72.4
DOBSON,Dobson Pond,Woodbury,North Central,9,122,1230,,,,Dobson Pond Woodbury,Pond,44.4403332,-72.4492746
DOLLIF,Unnamed Pond referred to by DEC as Dollif,Brighton,NE Kingdom,5,640,1250,,,,Dollif Pond Brighton,Pond,44.83,-71.93
DOUGHTY,Doughty Pond,Orwell,West Central,17,424,631,20,,NATURAL,Doughty Pond Orwell,Pond,43.7586734,-73.2828923
DOW,Dow Pond,Middlebury,West Central,11,1672,428,,,,Dow Pond Middlebury,Pond,44.02,-73.1
DOWNER,Unnamed Pond referred to by DEC as Downer,Sharon,East Central,,,1390,,,,Downer Pond Sharon,Pond,43.8,-72.4
DRY,Dry Pond,Northfield,East Central,2,1296,1212,,,,Dry Pond Northfield,Pond,44.1486727,-72.6023299
DRY RIDGE,Unnamed Pond referred to by DEC as Dry Ridge,Johnson,North Central,6,850,1270,,,,Dry Ridge Pond Johnson,Pond,44.62,-72.72
DUBLIN,Unnamed Pond referred to by DEC as Dublin,Stratton,Green Mtn South,,,2410,,,,Dublin Pond Stratton,Pond,43.07,-72.95
DUCK (BURKE),Duck Pond,Burke,NE Kingdom,4,32,970,,,,Duck Pond Burke,Pond,44.5997761,-71.945095
DUCK (CRAFBY),Duck Pond,Craftsbury,North Central,9,83,1130,,,,Duck Pond Craftsbury,Pond,44.6733838,-72.3651069
DUCK (HOLLND),Duck Pond,Holland,NE Kingdom,6,117,1530,,,,Duck Pond Holland,Pond,45.0047684,-71.9298183
DUCK (SHEFLD),Duck Pond,Sheffield,North Central,7,173,1870,,,,Duck Pond Sheffield,Pond,44.6731069,-72.1356558
DUCK (SHELBN),Duck Pond,Shelburne,Champlain ,4,96,170,,,,Duck Pond Shelburne,Pond,44.3778285,-73.2598487
DUCK (SUTTON),Duck Pond,Sutton,NE Kingdom,8,141,1690,,,,Duck Pond Sutton,Pond,44.7086619,-72.0675986
DUCK (WATRFD),Duck Pond,Waterford,NE Kingdom,16,215,946,,,NATURAL,Duck Pond Waterford,Pond,44.3933922,-71.9359261
DUCK-E,Unnamed Pond referred to by DEC as Duck - E,Burke,NE Kingdom,,,890,,,,Duck - E Pond Burke,Pond,44.6,-71.93
DUFRESNE,Dufresne Pond,Manchester,Green Mtn South,8,11234,719,10,,ARTIFICIAL,Dufresne Pond Manchester,Reservoir,43.18,-73.03
DUNKLEE,Dunklee Pond,Rutland City,West Central,3,3335,590,,,,Dunklee Pond Rutland City,Pond,43.6225679,-72.9731622
DUNMORE,Lake Dunmore,Salisbury,West Central,985,13068,569,105,28,NATURAL with ARTIFICIAL CONTROL,Lake Dunmore Salisbury,Lake (Artificial Control),43.9020068,-73.0753915
DUTTON,Dutton Pond,Maidstone,NE Kingdom,12,115,1247,,,,Dutton Pond Maidstone,Pond,44.6403306,-71.6070316
EAGLE,Eagle Pond,Alburgh,Champlain ,2,14,95,,,,Eagle Pond Alburgh,Pond,44.9353186,-73.2615189
EAST,Unnamed Pond referred to by DEC as East,Somerset,Green Mtn South,,,2155,,,,East Pond Somerset,Pond,42.95,-72.95
EAST CALAIS MILL,Unnamed Pond referred to by DEC as East Calais Mill,Calais,North Central,6,11168,850,,,,East Calais Mill Pond Calais,Pond,44.37,-72.43
EAST LONG,East Long Pond,Woodbury,North Central,188,2223,1208,105,47,NATURAL with ARTIFICIAL CONTROL,East Long Pond Woodbury,Lake (Artificial Control),44.45,-72.35
EAST TWIN,East Twin Pond,Athens,Green Mtn South,3,15,1150,,,,East Twin Pond Athens,Pond,43.13,-72.6
EASTMAN,Eastman,Newbury,East Central,4,43,1250,,,,Eastman Pond Newbury,Pond,44.1311748,-72.1737048
ECHO (CHARTN),Echo Lake,Charleston,NE Kingdom,550,15186,1249,129,58,NATURAL with ARTIFICIAL CONTROL,Echo Lake Charleston,Lake (Artificial Control),44.8603262,-71.994819
ECHO (HUBDTN),Echo Lake (Keeler Pond),Hubbardton,West Central,54,544,621,42,23,NATURAL,Echo Lake Hubbardton,Lake,43.7458969,-73.1828902
ECHO (PLYMTH),Echo Lake,Plymouth,West Central,104,16816,1061,91,30,NATURAL,Echo Lake Plymouth,Lake,43.4734041,-72.6998192
EDDY,Eddy Pond,Rutland City,West Central,10,1650,590,,,,Eddy Pond Rutland City,Pond,43.5906241,-72.961217
EDEN,Lake Eden,Eden,North Central,194,2347,1239,40,15,NATURAL with ARTIFICIAL CONTROL,Lake Eden Eden,Lake (Artificial Control),44.7225493,-72.5017778
ELBOW,Unnamed Pond referred to by DEC as Elbow,Mendon,West Central,8,162,1870,,,,Elbow Pond Mendon,Pond,43.7,-72.87
ELFIN,Elfin Lake,Wallingford,West Central,16,228,580,,12,,Elfin Lake Wallingford,Lake,43.4684038,-72.9884381
ELLIGO,Lake Elligo (Eligo Pond),Greensboro,North Central,174,3238,881,100,29,NATURAL,Lake Elligo Greensboro,Lake,44.600052,-72.3551065
ELLIS,Unnamed Pond referred to by DEC as Ellis,Dover,Green Mtn South,,,2175,,,,Ellis Pond Dover,Pond,42.98,-72.85
ELMORE,Lake Elmore,Elmore,North Central,219,5574,1139,17,11,NATURAL with ARTIFICIAL CONTROL,Lake Elmore Elmore,Lake (Artificial Control),44.5347752,-72.5253897
ELWIN MEADOW,Elwin Meadow,Newfane,Green Mtn South,,,1370,,,,Elwin Meadow Pond Newfane,Pond,42.97,-72.75
ELY,Unnamed Pond referred to by DEC as Ely,Thetford,East Central,5,168,870,,,,Ely Pond Thetford,Pond,43.88,-72.22
EMERALD,Emerald Lake,Dorset,Green Mtn South,28,3630,711,40,,NATURAL with ARTIFICIAL CONTROL,Emerald Lake Dorset,Lake (Artificial Control),43.2753523,-73.0064924
ENOSBURG,Unnamed Pond referred to by DEC as Enosbur,Enosburgh,Champlain ,,,425,,,,Enosburg Pond Enosburg,Pond,44.9,-72.78
EQUINOX,Equinox Pond,Manchester,Green Mtn South,15,537,1110,,,,Equinox Pond Manchester,Pond,43.1559098,-73.0898273
EVANSVILLE,Unnamed Pond referred to by DEC as Evansville,Barton,NE Kingdom,,,1190,,,,Evansville Pond Barton,Pond,44.8,-72.17
EWELL,Ewell Pond,Peacham,North Central,51,1981,1284,60,20,NATURAL with ARTIFICIAL CONTROL,Ewell Pond Peacham,Lake (Artificial Control),44.37,-72.17
FAIR HAVEN-W,Unnamed Pond referred to by DEC as Fair Haven - W,Fair Haven,West Central,18,175,510,,,,Fair Haven - W Pond Fair Haven,Pond,43.62,-73.25
FAIRFIELD,Fairfield Pond,Fairfield,Champlain ,446,3758,550,42,23,NATURAL with ARTIFICIAL CONTROL,Fairfield Pond Fairfield,Lake (Artificial Control),44.85,-72.98
FAIRFIELD SWAMP,Fairfield Swamp Pond,Swanton,Champlain ,152,7424,640,,,ARTIFICIAL,Fairfield Swamp Pond Swanton,Reservoir,44.8,-73
FAIRFIELD-NE,Unnamed Pond referred to by DEC as Fairfield - NE,Fairfield,Champlain ,12,320,820,,,,Fairfield - NE Pond Fairfield,Pond,44.83,-72.85
FAIRFIELD-SE,Unnamed Pond referred to by DEC as Fairfield - SE,Fairfield,Champlain ,18,226,855,,,,Fairfield - SE Pond Fairfield,Pond,44.77,-72.93
FAIRFIELD-SW1,Unnamed Pond referred to by DEC as Fairfield - SW1,Fairfield,Champlain ,7,82,800,,,,Fairfield - SW1 Pond Fairfield,Pond,44.77,-72.98
FAIRFIELD-SW2,Unnamed Pond referred to by DEC as Fairfield - SW2,Fairfield,Champlain ,7,294,820,,,,Fairfield - SW2 Pond Fairfield,Pond,44.77,-72.98
FAIRLEE,Lake Fairlee,Thetford,East Central,457,12976,678,50,23,NATURAL with ARTIFICIAL CONTROL,Lake Fairlee Thetford,Lake (Artificial Control),43.88,-72.23
FAN,Unnamed Pond referred to by DEC as Fan,Wells,West Central,12,280,1410,,,,Fan Pond Wells,Pond,43.43,-73.15
FAY,Unnamed Pond referred to by DEC as Fay,Strafford,East Central,10,223,1350,,,,Fay Pond Strafford,Pond,43.85,-72.43
FELCHNER,Unnamed Pond referred to by DEC as Felchner,Northfield,East Central,12,139,1290,,,,Felchner Pond Northfield,Pond,44.13,-72.73
FERDINAND-E,Unnamed Pond referred to by DEC as Ferdinand - E,Ferdinand,NE Kingdom,,,1150,,,,Ferdinand - E Pond Ferdinand,Pond,44.77,-71.72
FERDINAND-NE,Unnamed Pond referred to by DEC as Ferdinand - NE,Ferdinand,NE Kingdom,,,1150,,,,Ferdinand - NE Pond Ferdinand,Pond,44.75,-71.73
FERN,Fern Lake,Leicester,West Central,69,505,572,43,13,NATURAL,Fern Lake Leicester,Lake,43.8656187,-73.0698352
FIFIELD,Fifield Pond,Wallingford,West Central,6,717,2110,,,,Fifield Pond Wallingford,Pond,43.4059052,-72.8876016
FLAGG,Flagg Pond,Wheelock,North Central,111,2282,1592,6,3,NATURAL,Flagg Pond Wheelock,Pond,44.5653311,-72.2073241
FLOOD,Unnamed Pond referred to by DEC as Flood,Peru,Green Mtn South,1,,1525,,,,Flood Pond Peru,Pond,43.23,-72.88
FOREST (AVERLL),Forest Lake,Averill,NE Kingdom,62,1379,1665,13,,NATURAL with ARTIFICIAL CONTROL,Forest Lake Averill,Lake (Artificial Control),44.9847686,-71.6814803
FOREST (CALAIS),Forest Lake (Nelson Pond),Calais,North Central,133,2827,1070,97,49,NATURAL,Forest Lake Calais,Lake,44.4083895,-72.4412182
FORESTER,Forester Pond,Jamaica,Green Mtn South,16,207,1750,5,,NATURAL,Forester Pond Jamaica,Pond,43.0817446,-72.8675989
FORTIER,Fortier Pond,Orwell,West Central,4,30,530,,,,Fortier Pond Orwell,Pond,43.7786734,-73.2431696
FOSTERS,Fosters Pond,Peacham,North Central,61,647,1526,13,8,NATURAL,Fosters Pond Peacham,Pond,44.3297812,-72.20982
FRENCH,Unnamed Pond referred to by DEC as French,Springfield,East Central,,,610,,,,French Pond Springfield,Pond,43.3,-72.52
FRYING PAN,Unnamed Pond referred to by DEC as Frying Pan,Eden,North Central,,,995,,,,Frying Pan Pond Eden,Pond,44.73,-72.58
GALE MEADOWS,Gale Meadows Pond,Londonderry,Green Mtn South,195,6573,1358,20,8,ARTIFICIAL,Gale Meadows Pond Londonderry,Reservoir,43.17,-72.87
GALUSHA,Unnamed Pond referred to by DEC as Galusha,Topsham,North Central,5,152,1650,,,,Galusha Pond Topsham,Pond,44.15,-72.22
GARFIELD,Unnamed Pond referred to by DEC as Garfield,Hyde Park,North Central,9,47,1110,,,,Garfield Pond Hyde Park,Pond,44.6,-72.53
GATES,Gates Pond,Whitingham,Green Mtn South,30,1486,1617,7,,NATURAL with ARTIFICIAL CONTROL,Gates Pond Whitingham,Lake (Artificial Control),42.818693,-72.8073181
GATES-NE,Unnamed Pond referred to by DEC as Gates - NE,Marlboro,Green Mtn South,,,1785,,,,Gates - NE Pond Marlboro,Pond,42.83,-72.8
GEORGIA PLAINS,Unnamed Pond referred to by DEC as Georgia Plains,Georgia,Champlain ,19,3725,210,,,,Georgia Plains Pond Georgia,Pond,44.72,-73.17
GILLETT,Gillett Pond,Richmond,Champlain ,30,1390,710,8,5,NATURAL with ARTIFICIAL CONTROL,Gillett Pond Richmond,Lake (Artificial Control),44.3531098,-72.9642886
GILMORE,Gilmore Pond,Bristol,Champlain ,6,318,2010,,,,Gilmore Pond Bristol,Pond,44.088115,-73.0365059
GLEN,Glen Lake,Castleton,West Central,206,2050,478,68,32,NATURAL with ARTIFICIAL CONTROL,Glen Lake Castleton,Lake (Artificial Control),43.67,-73.23
GLOVER,Unnamed Pond referred to by DEC as Glover,Glover,North Central,,,1450,,,,Glover Pond Glover,Pond,44.7,-72.23
GOODALL,Goodall Pond,Woodbury,North Central,7,141,1250,,,,Goodall Pond Woodbury,Pond,44.4270002,-72.4381629
GOODSELL,Unnamed Pond referred to by DEC as Goodsell,Sheldon,Champlain ,10,86,930,,,,Goodsell Pond Sheldon,Pond,44.87,-72.85
GOOSE,Goose Pond,Bolton,Champlain ,2,49,2790,,,,Goose Pond Bolton,Pond,44.4108874,-72.8334541
GOSLANT ,Goslant Pond,Peacham,North Central,5,77,1370,,,,Goslant Pond Peacham,Pond,44.3028371,-72.3042666
GOSLANTS MILL,Unnamed Pond referred to by DEC as Goslants Mill,Walden,North Central,15,7526,1670,,,,Goslants Mill Pond Walden,Pond,44.47,-72.22
GOULDS,Unnamed Pond referred to by DEC as Goulds,Springfield,East Central,6,1651,415,,,,Goulds Pond Springfield,Pond,43.28,-72.45
GRAFT,Unnamed Pond referred to by DEC as Graft,Brighton,NE Kingdom,12,24736,1150,,,,Graft Pond Brighton,Pond,44.82,-71.93
GRAHAMVILLE,Unnamed Pond referred to by DEC as Grahamville,Ludlow,Green Mtn South,8,43,1030,,,,Grahamville Pond Ludlow,Pond,43.42,-72.7
GRASS,Grass Pond,Plymouth,West Central,3,169,1570,,,,Grass Pond Plymouth,Pond,43.547014,-72.7370436
GRAYS,Grays Pond,Lyndon,NE Kingdom,1,72,670,,,,Grays Pond Lyndon,Pond,44.4961676,-71.9900953
GREAT AVERILL,Great Averill Pond,Norton,NE Kingdom,828,7638,1684,108,42,NATURAL with ARTIFICIAL CONTROL,Great Averill Pond Norton,Lake (Artificial Control),44.98,-71.7
GREAT HOSMER,Great Hosmer Pond,Craftsbury,North Central,140,860,1117,57,20,NATURAL with ARTIFICIAL CONTROL,Great Hosmer Pond Craftsbury,Lake (Artificial Control),44.6947722,-72.3606624
GREEN RIVER,Green River Reservoir,Hyde Park,North Central,554,9075,1220,93,,ARTIFICIAL,Green River Reservoir Hyde Park,Reservoir,44.629268,-72.515443
GREENWOOD,Lake Greenwood,Woodbury,North Central,96,1138,1188,41,15,NATURAL,Lake Greenwood Woodbury,Lake,44.4586661,-72.4253853
GRIFFITH,Griffith Lake,Peru,Green Mtn South,13,104,2618,,,NATURAL,Griffith Lake Peru,Lake,43.3028517,-72.9592692
GRIGGS,Griggs Pond,Albany,North Central,6,160,850,,,,Griggs Pond Albany,Pond,44.77,-72.33
GROTON,Lake Groton,Groton,North Central,422,12006,1078,35,13,NATURAL with ARTIFICIAL CONTROL,Lake Groton Groton,Lake (Artificial Control),44.2667271,-72.2662089
GROUT,Grout Pond,Stratton,Green Mtn South,84,411,2225,33,,NATURAL,Grout Pond Stratton,Pond,43.0445226,-72.9456567
GROUT-N,Unnamed Pond referred to by DEC as Grout - N,Stratton,Green Mtn South,,,2275,,,,Grout - N Pond Stratton,Pond,43.05,-72.95
GUILFORD-E,Unnamed Pond referred to by DEC as Guilford - E,Guilford,Green Mtn South,5,41,600,,,,Guilford - E Pond Guilford,Pond,42.77,-72.57
GUILLMETTES,Guillmettes Pond,Richford,Champlain ,12,510,750,,,,Guillmettes Pond Richford,Pond,44.9600459,-72.6712408
GUT,Gut Pond,Eden,North Central,13,154,1280,,,,Gut Pond Eden,Pond,44.6931055,-72.5212233
HALF MOON,Halfmoon Pond,Hubbardton,West Central,23,322,582,8,2,NATURAL,Halfmoon Pond Hubbardton,Lake,43.6928423,-73.2184453
HALFMOON,Halfmoon Pond,Fletcher,Champlain ,21,194,919,25,,NATURAL,Halfmoon Pond Fletcher,Pond,44.6972716,-72.9298583
HALFMOON COVE,Halfmoon Cove,Colchester,Champlain ,14,133,95,,,,Halfmoon Cove Pond Colchester,Pond,44.53,-73.25
HALFWAY,Halfway Pond,Norton,NE Kingdom,22,220,1690,4,,NATURAL,Halfway Pond Norton,Pond,44.9800466,-71.8984291
HALLADAY,Unnamed Pond referred to by DEC as Halladay,Marlboro,Green Mtn South,,,1417,,,,Halladay Pond Marlboro,Pond,42.9,-72.7
HALLOCK,Unnamed Pond referred to by DEC as Hallock,Starksboro,Champlain ,15,207,1494,,,,Hallock Pond Starksboro,Pond,44.18,-72.97
HALLS,Halls Lake,Newbury,East Central,85,561,779,30,17,NATURAL with ARTIFICIAL CONTROL,Halls Lake Newbury,Lake (Artificial Control),44.085898,-72.1231473
HANCOCK (BRIGTN),Hancock Pond,Brighton,NE Kingdom,7,154,1510,,,,Hancock Pond Brighton,Pond,44.7569943,-71.8992618
HANCOCK (STAMFD),Lake Hancock (Sucker Pond),Stamford,Green Mtn South,51,259,2267,12,,NATURAL with ARTIFICIAL CONTROL,Lake Hancock Stamford,Lake (Artificial Control),42.82508,-73.1287164
HANCOCK MT,Unnamed Pond referred to by DEC as Hancock Mt,Rochester,East Central,14,319,1406,,,,Hancock Mt Pond Rochester,Pond,43.93,-72.82
HAPGOOD,Hapgood Pond,Peru,Green Mtn South,7,1568,1530,,,,Hapgood Pond Peru,Pond,43.2539638,-72.8906558
HARDWICK,Hardwick Lake,Hardwick,North Central,145,6876,797,,,ARTIFICIAL,Hardwick Lake Hardwick,Reservoir,44.52,-72.37
HARDWOOD,Hardwood Pond,Elmore,North Central,49,185,1569,15,,NATURAL,Hardwood Pond Elmore,Pond,44.4678324,-72.4995546
HARRIMAN (NEWBRY),Harriman Pond,Newbury,East Central,20,1438,838,35,,NATURAL,Harriman Pond Newbury,Pond,44.10312,-72.0800911
HARRIMAN (WHITHM),Harriman Reservoir,Whitingham,Green Mtn South,2040,116840,1490,160,34,ARTIFICIAL,Harriman Reservoir Whitingham,Reservoir,42.83,-72.88
HARTWELL,Hartwell Pond,Albany,North Central,16,623,1609,57,21,NATURAL,Hartwell Pond Albany,Pond,44.7044943,-72.293716
HARVEYS,Harveys Lake,Barnet,North Central,351,5364,893,145,66,NATURAL with ARTIFICIAL CONTROL,Harveys Lake Barnet,Lake (Artificial Control),44.3,-72.13
HAWKINS,Hawkins Pond,Calais,North Central,9,190,1410,,,,Hawkins Pond Calais,Pond,44.4033895,-72.5012201
HAYSTACK,Haystack Pond,Wilmington,Green Mtn South,27,132,2984,,,NATURAL,Haystack Pond Wilmington,Pond,42.9170246,-72.9170441
HEART,Heart Pond,Albany,North Central,6,90,1170,,,,Heart Pond Albany,Pond,44.6997721,-72.3642736
HEARTWELLVILLE,Unnamed Pond referred to by DEC as Heartwellville,Readsboro,Green Mtn South,,,1760,,,,Heartwellville Pond Readsboro,Pond,42.83,-72.98
HEDGEHOG GULF,Unnamed Pond referred to by DEC as Hedgehog Gulf,Athens,Green Mtn South,,,935,,,,Hedgehog Gulf Pond Athens,Pond,43.08,-72.58
HICKORY,Unnamed Pond referred to by DEC as Hickory,Westminster,Green Mtn South,16,84,932,,,,Hickory Pond Westminster,Pond,43.03,-72.55
HIDDEN,Hidden Lake,Marlboro,Green Mtn South,17,723,1470,6,,NATURAL with ARTIFICIAL CONTROL,Hidden Lake Marlboro,Lake (Artificial Control),42.88,-72.72
HIGH (HUBDTN),High Pond,Hubbardton,West Central,3,20,770,,,,High Pond Hubbardton,Pond,43.7003422,-73.2117786
HIGH (SUDBRY),High Pond,Sudbury,West Central,20,173,1033,56,26,NATURAL,High Pond Sudbury,Pond,43.7528416,-73.1531676
HINKUM,Hinkum Pond,Sudbury,West Central,60,353,719,69,,NATURAL with ARTIFICIAL CONTROL,Hinkum Pond Sudbury,Lake (Artificial Control),43.7647857,-73.1678903
HOLBROOK,Unnamed Pond referred to by DEC as Holbrook,West Windsor,East Central,,,1080,,,,Holbrook Pond West Windsor,Pond,43.52,-72.47
HOLDENS,Holdens Pond,Brookfield,East Central,10,324,1194,,,,Holdens Pond Brookfield,Pond,44.03,-72.58
HOLLAND,Holland Pond,Holland,NE Kingdom,325,4431,1430,39,17,NATURAL with ARTIFICIAL CONTROL,Holland Pond Holland,Lake (Artificial Control),44.9867132,-71.9281516
HOMER STONE,Unnamed Pond referred to by DEC as Homer Stone,Wallingford,West Central,,,2135,,,,Homer Stone Pond Wallingford,Pond,43.42,-72.93
HOPKINS,Unnamed Pond referred to by DEC as Hopkins,Charleston,NE Kingdom,,,1150,,,,Hopkins Pond Charleston,Pond,44.82,-71.93
HOPKINSON,Unnamed Pond referred to by DEC as Hopkinson,Derby,NE Kingdom,,,855,,,,Hopkinson Pond Derby,Pond,44.92,-72.17
HOPPER,Hopper Pond,Sandgate,Green Mtn South,1,733,1970,,,,Hopper Pond Sandgate,Pond,43.1506322,-73.1512175
HORN OF THE MOON,Horn of the Moon Pond,East Montpelier,North Central,10,139,1230,,,,Horn of the Moon Pond East Montpelier,Pond,44.32,-72.55
HORSE,Horse Pond,Greensboro,North Central,32,531,1343,4,,NATURAL,Horse Pond Greensboro,Pond,44.6175521,-72.2106577
HORTON,unnamed pond referred to by DEC as Horton,Benson,West Central,15,,500,,,,Horton Pond Benson,Pond,43.71491,-73.34589
HORTONIA,Lake Hortonia,Hubbardton,West Central,479,4457,484,60,19,NATURAL with ARTIFICIAL CONTROL,Lake Hortonia Hubbardton,Lake (Artificial Control),43.7500632,-73.2078906
HOUGH,Hough Pond (Huff Pond),Sudbury,West Central,16,344,777,30,,NATURAL with ARTIFICIAL CONTROL,Hough Pond Sudbury,Lake (Artificial Control),43.78,-73.18
HOVEY,Unnamed Pond referred to by DEC as Hovey,Hardwick,North Central,6,198,1290,,,,Hovey Pond Hardwick,Pond,44.53,-72.32
HOWE,Howe Pond,Readsboro,Green Mtn South,52,1647,1926,33,10,NATURAL,Howe Pond Readsboro,Pond,42.7842485,-72.9859342
HUTCHINSON,Unnamed Pond referred to by DEC as Hutchinson,Braintree,East Central,,,910,,,,Hutchinson Pond Braintree,Pond,43.98,-72.67
INDIAN BROOK,Unnamed Pond referred to by DEC as Indian Brook,Colchester,Champlain ,16,6078,170,,,,Indian Brook Pond Colchester,Reservoir,44.53,-73.15
INDIAN BROOK (ESSEX),Indian Brook Reservoir,Essex,Champlain ,50,761,520,22,13,ARTIFICIAL,Indian Brook Reservoir Essex,Reservoir,44.53,-73.1
INMAN,Inman Pond,Fair Haven,West Central,85,240,592,80,34,NATURAL with ARTIFICIAL CONTROL,Inman Pond Fair Haven,Lake (Artificial Control),43.65,-73.27
IRASBURG,Unnamed Pond referred to by DEC as Irasburg,Irasburg,NE Kingdom,,,955,,,,Irasburg Pond Irasburg,Pond,44.83,-72.32
IROQUOIS,Lake Iroquois,Hinesburg,Champlain ,243,2418,684,37,19,NATURAL with ARTIFICIAL CONTROL,Lake Iroquois Hinesburg,Lake (Artificial Control),44.37,-73.08
ISLAND,Island Pond,Brighton,NE Kingdom,626,6295,1172,63,31,NATURAL,Island Pond Brighton,Pond,44.8050491,-71.8706504
JACKSONVILLE,Jacksonville Pond,Whitingham,Green Mtn South,20,3349,1450,8,,ARTIFICIAL,Jacksonville Pond Whitingham,Reservoir,42.8,-72.82
JAY,Unnamed Pond referred to by DEC as Jay,Jay,NE Kingdom,,,1720,,,,Jay Pond Jay,Pond,44.98,-72.48
JEROME,Unnamed Pond referred to by DEC as Jerome,Addison,Champlain ,18,320,108,,,ARTIFICIAL,Jerome Pond Addison,Reservoir,44.08,-73.33
JEWELL BK #1,Unnamed Pond referred to by DEC as Jewell Bk #1,Ludlow,West Central,14,1143,1650,,,,Jewell Bk #1 Pond Ludlow,Reservoir,43.37,-72.72
JEWELL BK #2,Unnamed Pond referred to by DEC as Jewell Bk #2,Ludlow,West Central,17,1323,1550,,,,Jewell Bk #2 Pond Ludlow,Reservoir,43.37,-72.73
JEWELL BK #3,Unnamed Pond referred to by DEC as Jewell Bk #3,Ludlow,West Central,18,803,1250,,,,Jewell Bk #3 Pond Ludlow,Reservoir,43.38,-72.72
JOBS,Jobs Pond,Westmore,NE Kingdom,39,268,1950,18,7,NATURAL with ARTIFICIAL CONTROL,Jobs Pond Westmore,Lake (Artificial Control),44.7628276,-71.9537072
JOES (DANVLL),Joes Pond,Danville,North Central,396,18445,1551,78,21,NATURAL with ARTIFICIAL CONTROL,Joes Pond Danville,Lake (Artificial Control),44.4083904,-72.1945436
JOES (MRSTWN),Joes Pond,Morristown,North Central,9,787,732,,,,Joes Pond Morristown,Pond,44.5058865,-72.6201157
JOHNSON (KIRBY),Johnson Pond,Kirby,NE Kingdom,7,691,1105,,,,Johnson Pond Kirby,Pond,44.4906125,-71.867037
JOHNSON (ORWELL),Johnson Pond,Orwell,West Central,20,140,443,18,,NATURAL,Johnson Pond Orwell,Pond,43.7667294,-73.2237247
JOHNSON (SHRWBY),Johnson Pond,Shrewsbury,West Central,12,210,1745,,,,Johnson Pond Shrewsbury,Pond,43.5181254,-72.8453793
JOHNSONS MILL,Unnamed Pond referred to by DEC as Johnsons Mill,Bakersfield,Champlain ,5,5098,620,,,,Johnsons Mill Pond Bakersfield,Pond,44.83,-72.75
JONES,Jones Pond,Chelsea,East Central,2,54,1330,,,,Jones Pond Chelsea,Pond,44.0428423,-72.4953795
JONES MILL,Jones Mill Pond,Brandon,West Central,6,3367,430,,,,Jones Mill Pond Brandon,Pond,43.7831201,-73.0617778
JOSLIN TURN,Unnamed Pond referred to by DEC as Joslin Turn,Concord,NE Kingdom,10,165,824,,,,Joslin Turn Pond Concord,Pond,44.37,-71.83
KEELER,Keeler Pond,Wolcott,North Central,5,544,1390,,,,Keeler Pond Wolcott,Pond,44.5747747,-72.3992744
KEISER,Keiser Pond,Danville,North Central,33,1611,1290,20,6,NATURAL with ARTIFICIAL CONTROL,Keiser Pond Danville,Lake (Artificial Control),44.3864467,-72.1706537
